 *  Executing task in folder MatrixClockv0: platformio device monitor 

--- Terminal on /dev/cu.usbserial-02280638 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop number: 9700 time of loop(us): 2 of lora_game_task_time: 
Loop number: 9800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 9900 time of loop(us): 2 of lora_game_task_time: 
Loop number: 10000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 10100 time of loop(us): 2 of lora_game_task_time: 
Loop number: 10200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 10300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 10400 time of loop(us): 1 of lora_game_task_time: 
Loop number: 10500 time of loop(us): 1 of lora_game_task_time: 
Loop number: 10600 time of loop(us): 1 of lora_game_task_time: 
Loop number: 10700 time of loop(us): 1 of lora_game_task_time: 
Loop number: 10800 time of loop(us): 2 of lora_game_task_time: 
Loop number: 10900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 11000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 11100 time of loop(us): 2 of lora_game_task_time: 
Loop number: 11200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 11300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 11400 time of loop(us): 2 of lora_game_task_time: 
Loop number: 11500 time of loop(us): 2 of lora_game_task_time: 
Loop number: 11600 time of loop(us): 1 of lora_game_task_time: 
Loop number: 11700 time of loop(us): 2 of lora_game_task_time: 
Loop number: 11800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 11900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 12000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 12100 time of loop(us): 2 of lora_game_task_time: 
Loop number: 12200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 12300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 12400 time of loop(us): 2 of lora_game_task_time: 
Loop number: 12500 time of loop(us): 1 of lora_game_task_time: 
Loop number: 12600 time of loop(us): 2 of lora_game_task_time: 
Loop number: 12700 time of loop(us): 2 of lora_game_task_time: 
Loop number: 12800 time of loop(us): 2 of lora_game_task_time: 
Loop number: 12900 time of loop(us): 2 of lora_game_task_time: 
Loop number: 13000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 13100 time of loop(us): 2 of lora_game_task_time: 
Loop number: 13200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 13300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 13400 time of loop(us): 1 of lora_game_task_time: 
Loop number: 13500 time of loop(us): 1 of lora_game_task_time: 
Loop number: 13600 time of loop(us): 1 of lora_game_task_time: 
Loop number: 13700 time of loop(us): 2 of lora_game_task_time: 
Loop number: 13800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 13900 time of loop(us): 2 of lora_game_task_time: 
Loop number: 14000 time of loop(us): 2 of lora_game_task_time: 
Loop number: 14100 time of loop(us): 1 of lora_game_task_time: 
Loop number: 14200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 14300 time of loop(us): 2 of lora_game_task_time: 
Loop number: 14400 time of loop(us): 1 of lora_game_task_time: 
Loop number: 14500 time of loop(us): 2 of lora_game_task_time: 
Loop number: 14600 time of loop(us): 2 of lora_game_task_time: 
Loop number: 14700 time of loop(us): 1 of lora_game_task_time: 
Loop number: 14800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 14900 time of loop(us): 2 of lora_game_task_time: 
Loop number: 15000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 15100 time of loop(us): 1 of lora_game_task_time: 
Loop number: 15200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 15300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 15400 time of loop(us): 1 of lora_game_task_time: 
Loop number: 15500 time of loop(us): 1 of lora_game_task_time: 
Loop number: 15600 time of loop(us): 2 of lora_game_task_time: 
Loop number: 15700 time of loop(us): 1 of lora_game_task_time: 
Loop number: 15800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 15900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 16000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 16100 time of loop(us): 2 of lora_game_task_time: 
Loop number: 16200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 16300 time of loop(us): 2 of lora_game_task_time: 
Loop number: 16400 time of loop(us): 1 of lora_game_task_time: 
Loop number: 16500 time of loop(us): 1 of lora_game_task_time: 
Loop number: 16600 time of loop(us): 1 of lora_game_task_time: 
Loop number: 16700 time of loop(us): 1 of lora_game_task_time: 
Loop number: 16800 time of loop(us): 2 of lora_game_task_time: 
Loop number: 16900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 17000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 17100 time of loop(us): 1 of lora_game_task_time: 
Loop number: 17200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 17300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 17400 time of loop(us): 1 of lora_game_task_time: 
Loop number: 17500 time of loop(us): 2 of lora_game_task_time: 
Loop number: 17600 time of loop(us): 1 of lora_game_task_time: 
Loop number: 17700 time of loop(us): 2 of lora_game_task_time: 
Loop number: 17800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 17900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 18000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 18100 time of loop(us): 2 of lora_game_task_time: 
Loop number: 18200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 18300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 18400 time of loop(us): 1 of lora_game_task_time: 
Loop number: 18500 time of loop(us): 2 of lora_game_task_time: 
Loop number: 18600 time of loop(us): 1 of lora_game_task_time: 
Loop number: 18700 time of loop(us): 2 of lora_game_task_time: 
Loop number: 18800 time of loop(us): 2 of lora_game_task_time: 
